Date,KOSPI 200,S&P 500,Nikkei 225,CSI 300
2018-11-27,272.08,2682.17,21952.4,3137.24
2018-11-28,273.45,2743.79,22177.02,3178.93
2018-11-29,274.16,2737.76,22262.6,3137.65
2018-11-30,271.35,2760.17,22351.06,3172.69
2018-12-03,276.18,2790.37,22574.76,3260.95
2018-12-04,273.29,2700.06,22036.05,3267.71
2018-12-05,271.49,2700.06,21919.33,3252.0
2018-12-06,267.18,2695.95,21501.62,3181.67
2018-12-07,268.28,2633.08,21678.68,3181.56
2018-12-10,265.35,2637.72,21219.5,3144.76
2018-12-11,264.69,2636.78,21148.02,3159.82
2018-12-12,268.47,2651.07,21602.75,3170.61
2018-12-13,269.41,2650.54,21816.19,3219.69
2018-12-14,265.55,2599.95,21374.83,3165.91
2018-12-17,266.33,2545.94,21506.88,3161.2
2018-12-18,265.18,2546.16,21115.45,3128.43
2018-12-19,267.31,2506.96,20987.92,3091.13
2018-12-20,264.81,2467.42,20392.58,3067.42
2018-12-21,265.06,2416.62,20166.19,3029.4
2018-12-24,264.45,2351.1,20166.19,3038.2
2018-12-25,264.45,2351.1,19155.74,3017.28
2018-12-26,260.98,2467.7,19327.06,3002.03
2018-12-27,260.57,2488.83,20077.62,2990.51
2018-12-28,261.98,2485.74,20014.77,3010.65
2018-12-31,261.98,2506.85,20014.77,3010.65
2019-01-01,261.98,2506.85,20014.77,3010.65
2019-01-02,258.23,2510.03,20014.77,2969.54
2019-01-03,255.77,2447.89,20014.77,2964.84
2019-01-04,257.89,2531.94,19561.96,3035.87
2019-01-07,261.57,2549.69,20038.97,3054.3
2019-01-08,259.65,2574.41,20204.04,3047.7
2019-01-09,265.6,2584.96,20427.06,3078.48
2019-01-10,265.55,2596.64,20163.8,3072.69
2019-01-11,267.13,2596.26,20359.7,3094.78
2019-01-14,264.99,2582.61,20359.7,3067.78
2019-01-15,269.93,2610.3,20555.29,3127.99
